GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	TAXON ID	GENE_PRODUCT_SYNONYMS	GO ASPECT
UniProtKB	P33891	TIP20	GO:0048193		559292	TIP20,TIP1,YGL145W	P
UniProtKB	P33891	TIP20	GO:0016192		559292	TIP20,TIP1,YGL145W	P
UniProtKB	P33891	TIP20	GO:0006890		559292	TIP20,TIP1,YGL145W	P
UniProtKB	P34110	VPS35	GO:0042147		559292	VPS35,VPT7,YJL154C,J0580	P
UniProtKB	P34110	VPS35	GO:0042147		559292	VPS35,VPT7,YJL154C,J0580	P
UniProtKB	P34110	VPS35	GO:0140312		559292	VPS35,VPT7,YJL154C,J0580	F
UniProtKB	P34110	VPS35	GO:0140312		559292	VPS35,VPT7,YJL154C,J0580	F
UniProtKB	P34110	VPS35	GO:0042147		559292	VPS35,VPT7,YJL154C,J0580	P
UniProtKB	P34216	EDE1	GO:0006897		559292	EDE1,BUD15,YBL047C,YBL0501,YBL0520	P
UniProtKB	P34216	EDE1	GO:0016197		559292	EDE1,BUD15,YBL047C,YBL0501,YBL0520	P
UniProtKB	P34216	EDE1	GO:0006897		559292	EDE1,BUD15,YBL047C,YBL0501,YBL0520	P
UniProtKB	P34216	EDE1	GO:0006897		559292	EDE1,BUD15,YBL047C,YBL0501,YBL0520	P
UniProtKB	P34237	COY1	GO:0006891		559292	COY1,YKL179C	P
UniProtKB	P34237	COY1	GO:0048211		559292	COY1,YKL179C	P
UniProtKB	P34237	COY1	GO:0048193		559292	COY1,YKL179C	P
UniProtKB	P34758	SCD5	GO:0006897		559292	SCD5,FTB1,YOR329C	P
UniProtKB	P35181	APS1	GO:0016192		559292	APS1,YAP19,YLR170C,L9470.16	P
UniProtKB	P35181	APS1	GO:0016192		559292	APS1,YAP19,YLR170C,L9470.16	P
UniProtKB	P35181	APS1	GO:0006896		559292	APS1,YAP19,YLR170C,L9470.16	P
UniProtKB	P35196	RER2	GO:0006888		559292	RER2,YBR002C,YBR0107	P
UniProtKB	P35197	GCS1	GO:0006890		559292	GCS1,YDL226C	P
UniProtKB	P35197	GCS1	GO:0006890		559292	GCS1,YDL226C	P
UniProtKB	P35197	GCS1	GO:0006888		559292	GCS1,YDL226C	P
UniProtKB	P35197	GCS1	GO:0043001		559292	GCS1,YDL226C	P
UniProtKB	P35723	YET1	GO:0006888		559292	YET1,YKL065C,YKL331	P
UniProtKB	P35723	YET1	GO:0016192		559292	YET1,YKL065C,YKL331	P
UniProtKB	P35843	HES1	GO:0006897		559292	HES1,OSH5,YOR237W,O5234	P
UniProtKB	P35843	HES1	GO:0006887		559292	HES1,OSH5,YOR237W,O5234	P
UniProtKB	P35844	KES1	GO:0006897		559292	KES1,OSH4,YPL145C,LPI3C,P2614	P
UniProtKB	P35844	KES1	GO:0006892		559292	KES1,OSH4,YPL145C,LPI3C,P2614	P
UniProtKB	P35844	KES1	GO:0006892		559292	KES1,OSH4,YPL145C,LPI3C,P2614	P
UniProtKB	P35844	KES1	GO:0006887		559292	KES1,OSH4,YPL145C,LPI3C,P2614	P
UniProtKB	P35845	SWH1	GO:0006897		559292	SWH1,OSH1,YAR042W,YAR044W	P
UniProtKB	P35845	SWH1	GO:0006887		559292	SWH1,OSH1,YAR042W,YAR044W	P
UniProtKB	P35845	SWH1	GO:0006897		559292	SWH1,OSH1,YAR042W,YAR044W	P
UniProtKB	P35845	SWH1	GO:0006887		559292	SWH1,OSH1,YAR042W,YAR044W	P
UniProtKB	P36000	APL2	GO:0016192		559292	APL2,YKL135C	P
UniProtKB	P36000	APL2	GO:0016192		559292	APL2,YKL135C	P
UniProtKB	P36000	APL2	GO:0006896		559292	APL2,YKL135C	P
